threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,total_cost,cost_per_patient
0.195,0.6536189880003902,0.20416696863856337,0.13043478260869565,0.3287671232876712,0.1867704280155642,0.9633507853403142,0.10351005043200734,0.3558987040398563,1288,49,160,24,0.04799474030243261,849.0,0.5581854043392505
0.2,0.6536189880003902,0.20416696863856337,0.11956521739130435,0.3333333333333333,0.176,0.9670905011219147,0.10351005043200734,0.3558987040398563,1293,44,162,22,0.04339250493096647,854.0,0.5614727153188692
0.205,0.6536189880003902,0.20416696863856337,0.10869565217391304,0.3225806451612903,0.16260162601626016,0.9685863874345549,0.10351005043200734,0.3558987040398563,1295,42,164,20,0.04076265614727153,862.0,0.5667324128862591
0.21,0.6536189880003902,0.20416696863856337,0.10869565217391304,0.32786885245901637,0.16326530612244897,0.9693343305908751,0.10351005043200734,0.3558987040398563,1296,41,164,20,0.040105193951347796,861.0,0.5660749506903353
0.215,0.6536189880003902,0.20416696863856337,0.10869565217391304,0.3389830508474576,0.1646090534979424,0.9708302169035153,0.10351005043200734,0.3558987040398563,1298,39,164,20,0.03879026955950033,859.0,0.5647600262984879
0.22,0.6536189880003902,0.20416696863856337,0.09782608695652174,0.3333333333333333,0.15126050420168066,0.9730740463724757,0.10351005043200734,0.3558987040398563,1301,36,166,18,0.03550295857988166,866.0,0.569362261669954
0.225,0.6536189880003902,0.20416696863856337,0.09782608695652174,0.3333333333333333,0.15126050420168066,0.9730740463724757,0.10351005043200734,0.3558987040398563,1301,36,166,18,0.03550295857988166,866.0,0.569362261669954
0.23,0.6536189880003902,0.20416696863856337,0.08152173913043478,0.3,0.1282051282051282,0.9738219895287958,0.10351005043200734,0.3558987040398563,1302,35,169,15,0.03287310979618672,880.0,0.5785667324128863
0.235,0.6536189880003902,0.20416696863856337,0.07608695652173914,0.2857142857142857,0.12017167381974249,0.9738219895287958,0.10351005043200734,0.3558987040398563,1302,35,170,14,0.032215647600262985,885.0,0.5818540433925049
0.24,0.6536189880003902,0.20416696863856337,0.07608695652173914,0.2916666666666667,0.1206896551724138,0.9745699326851159,0.10351005043200734,0.3558987040398563,1303,34,170,14,0.03155818540433925,884.0,0.5811965811965812
0.245,0.6536189880003902,0.20416696863856337,0.07608695652173914,0.2978723404255319,0.12121212121212122,0.975317875841436,0.10351005043200734,0.3558987040398563,1304,33,170,14,0.030900723208415515,883.0,0.5805391190006575
0.25,0.6536189880003902,0.20416696863856337,0.059782608695652176,0.2558139534883721,0.09691629955947137,0.9760658189977561,0.10351005043200734,0.3558987040398563,1305,32,173,11,0.02827087442472058,897.0,0.5897435897435898
0.255,0.6536189880003902,0.20416696863856337,0.059782608695652176,0.2682926829268293,0.09777777777777778,0.9775617053103964,0.10351005043200734,0.3558987040398563,1307,30,173,11,0.02695595003287311,895.0,0.5884286653517423
0.26,0.6536189880003902,0.20416696863856337,0.04891304347826087,0.24324324324324326,0.08144796380090498,0.9790575916230366,0.10351005043200734,0.3558987040398563,1309,28,175,9,0.024326101249178174,903.0,0.5936883629191322
0.265,0.6536189880003902,0.20416696863856337,0.03804347826086957,0.21212121212121213,0.06451612903225806,0.9805534779356769,0.10351005043200734,0.3558987040398563,1311,26,177,7,0.021696252465483234,911.0,0.598948060486522
0.27,0.6536189880003902,0.20416696863856337,0.03804347826086957,0.21212121212121213,0.06451612903225806,0.9805534779356769,0.10351005043200734,0.3558987040398563,1311,26,177,7,0.021696252465483234,911.0,0.598948060486522
0.275,0.6536189880003902,0.20416696863856337,0.03804347826086957,0.22580645161290322,0.06511627906976744,0.9820493642483171,0.10351005043200734,0.3558987040398563,1313,24,177,7,0.020381328073635765,909.0,0.5976331360946746
0.28,0.6536189880003902,0.20416696863856337,0.03260869565217391,0.2,0.056074766355140186,0.9820493642483171,0.10351005043200734,0.3558987040398563,1313,24,178,6,0.01972386587771203,914.0,0.6009204470742933
0.285,0.6536189880003902,0.20416696863856337,0.03260869565217391,0.24,0.05741626794258373,0.9857890800299177,0.10351005043200734,0.3558987040398563,1318,19,178,6,0.01643655489809336,909.0,0.5976331360946746
0.29,0.6536189880003902,0.20416696863856337,0.03260869565217391,0.24,0.05741626794258373,0.9857890800299177,0.10351005043200734,0.3558987040398563,1318,19,178,6,0.01643655489809336,909.0,0.5976331360946746
0.295,0.6536189880003902,0.20416696863856337,0.03260869565217391,0.24,0.05741626794258373,0.9857890800299177,0.10351005043200734,0.3558987040398563,1318,19,178,6,0.01643655489809336,909.0,0.5976331360946746
0.3,0.6536189880003902,0.20416696863856337,0.03260869565217391,0.3,0.058823529411764705,0.9895287958115183,0.10351005043200734,0.3558987040398563,1323,14,178,6,0.013149243918474688,904.0,0.5943458251150558
