threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,total_cost,cost_per_patient
0.18,0.6534421644824558,0.2124846387926167,0.17391304347826086,0.27586206896551724,0.21333333333333335,0.93717277486911,0.10283803935166289,0.35352388066469487,1253,84,152,32,0.0762656147271532,844.0,0.5548980933596318
0.185,0.6534421644824558,0.2124846387926167,0.15760869565217392,0.28431372549019607,0.20279720279720279,0.9454001495886313,0.10283803935166289,0.35352388066469487,1264,73,155,29,0.0670611439842209,848.0,0.5575279421433268
0.19,0.6534421644824558,0.2124846387926167,0.15760869565217392,0.29896907216494845,0.20640569395017794,0.9491398653702319,0.10283803935166289,0.35352388066469487,1269,68,155,29,0.06377383300460224,843.0,0.5542406311637081
0.195,0.6534421644824558,0.2124846387926167,0.14130434782608695,0.3058823529411765,0.19330855018587362,0.955871353777113,0.10283803935166289,0.35352388066469487,1278,59,158,26,0.055884286653517426,849.0,0.5581854043392505
0.2,0.6534421644824558,0.2124846387926167,0.1358695652173913,0.30864197530864196,0.18867924528301888,0.9581151832460733,0.10283803935166289,0.35352388066469487,1281,56,159,25,0.05325443786982249,851.0,0.559500328731098
0.205,0.6534421644824558,0.2124846387926167,0.13043478260869565,0.32432432432432434,0.18604651162790697,0.9626028421839941,0.10283803935166289,0.35352388066469487,1287,50,160,24,0.04865220249835635,850.0,0.5588428665351742
0.21,0.6534421644824558,0.2124846387926167,0.11956521739130435,0.3283582089552239,0.1752988047808765,0.9663425579655947,0.10283803935166289,0.35352388066469487,1292,45,162,22,0.0440499671268902,855.0,0.5621301775147929
0.215,0.6534421644824558,0.2124846387926167,0.11956521739130435,0.3333333333333333,0.176,0.9670905011219147,0.10283803935166289,0.35352388066469487,1293,44,162,22,0.04339250493096647,854.0,0.5614727153188692
0.22,0.6534421644824558,0.2124846387926167,0.11956521739130435,0.3384615384615385,0.17670682730923695,0.9678384442782348,0.10283803935166289,0.35352388066469487,1294,43,162,22,0.042735042735042736,853.0,0.5608152531229454
0.225,0.6534421644824558,0.2124846387926167,0.10869565217391304,0.3333333333333333,0.16393442622950818,0.9700822737471952,0.10283803935166289,0.35352388066469487,1297,40,164,20,0.03944773175542406,860.0,0.5654174884944115
0.23,0.6534421644824558,0.2124846387926167,0.10326086956521739,0.35185185185185186,0.15966386554621848,0.9738219895287958,0.10283803935166289,0.35352388066469487,1302,35,165,19,0.03550295857988166,860.0,0.5654174884944115
0.235,0.6534421644824558,0.2124846387926167,0.08695652173913043,0.32,0.13675213675213677,0.9745699326851159,0.10283803935166289,0.35352388066469487,1303,34,168,16,0.03287310979618672,874.0,0.5746219592373438
0.24,0.6534421644824558,0.2124846387926167,0.08695652173913043,0.32653061224489793,0.13733905579399142,0.975317875841436,0.10283803935166289,0.35352388066469487,1304,33,168,16,0.032215647600262985,873.0,0.5739644970414202
0.245,0.6534421644824558,0.2124846387926167,0.08152173913043478,0.3125,0.12931034482758622,0.975317875841436,0.10283803935166289,0.35352388066469487,1304,33,169,15,0.03155818540433925,878.0,0.5772518080210388
0.25,0.6534421644824558,0.2124846387926167,0.08152173913043478,0.3333333333333333,0.13100436681222707,0.9775617053103964,0.10283803935166289,0.35352388066469487,1307,30,169,15,0.029585798816568046,875.0,0.5752794214332676
0.255,0.6534421644824558,0.2124846387926167,0.07608695652173914,0.3333333333333333,0.12389380530973451,0.9790575916230366,0.10283803935166289,0.35352388066469487,1309,28,170,14,0.027613412228796843,878.0,0.5772518080210388
0.26,0.6534421644824558,0.2124846387926167,0.07608695652173914,0.34146341463414637,0.12444444444444444,0.9798055347793567,0.10283803935166289,0.35352388066469487,1310,27,170,14,0.02695595003287311,877.0,0.576594345825115
0.265,0.6534421644824558,0.2124846387926167,0.06521739130434782,0.3076923076923077,0.10762331838565023,0.9798055347793567,0.10283803935166289,0.35352388066469487,1310,27,172,12,0.02564102564102564,887.0,0.5831689677843525
0.27,0.6534421644824558,0.2124846387926167,0.06521739130434782,0.3076923076923077,0.10762331838565023,0.9798055347793567,0.10283803935166289,0.35352388066469487,1310,27,172,12,0.02564102564102564,887.0,0.5831689677843525
0.275,0.6534421644824558,0.2124846387926167,0.06521739130434782,0.3157894736842105,0.10810810810810811,0.9805534779356769,0.10283803935166289,0.35352388066469487,1311,26,172,12,0.024983563445101907,886.0,0.5825115055884287
0.28,0.6534421644824558,0.2124846387926167,0.059782608695652176,0.3055555555555556,0.1,0.981301421091997,0.10283803935166289,0.35352388066469487,1312,25,173,11,0.023668639053254437,890.0,0.5851413543721236
0.285,0.6534421644824558,0.2124846387926167,0.059782608695652176,0.3235294117647059,0.10091743119266056,0.9827973074046372,0.10283803935166289,0.35352388066469487,1314,23,173,11,0.022353714661406968,888.0,0.5838264299802761
0.29,0.6534421644824558,0.2124846387926167,0.05434782608695652,0.30303030303030304,0.09216589861751152,0.9827973074046372,0.10283803935166289,0.35352388066469487,1314,23,174,10,0.021696252465483234,893.0,0.5871137409598948
0.295,0.6534421644824558,0.2124846387926167,0.04891304347826087,0.2903225806451613,0.08372093023255814,0.9835452505609573,0.10283803935166289,0.35352388066469487,1315,22,175,9,0.020381328073635765,897.0,0.5897435897435898
0.3,0.6534421644824558,0.2124846387926167,0.04891304347826087,0.3103448275862069,0.08450704225352113,0.9850411368735976,0.10283803935166289,0.35352388066469487,1317,20,175,9,0.0190664036817883,895.0,0.5884286653517423
0.305,0.6534421644824558,0.2124846387926167,0.03804347826086957,0.2692307692307692,0.06666666666666667,0.9857890800299177,0.10283803935166289,0.35352388066469487,1318,19,177,7,0.017094017094017096,904.0,0.5943458251150558
0.31,0.6534421644824558,0.2124846387926167,0.03260869565217391,0.25,0.057692307692307696,0.9865370231862378,0.10283803935166289,0.35352388066469487,1319,18,178,6,0.015779092702169626,908.0,0.5969756738987508
0.315,0.6534421644824558,0.2124846387926167,0.03260869565217391,0.25,0.057692307692307696,0.9865370231862378,0.10283803935166289,0.35352388066469487,1319,18,178,6,0.015779092702169626,908.0,0.5969756738987508
0.32,0.6534421644824558,0.2124846387926167,0.03260869565217391,0.25,0.057692307692307696,0.9865370231862378,0.10283803935166289,0.35352388066469487,1319,18,178,6,0.015779092702169626,908.0,0.5969756738987508
0.325,0.6534421644824558,0.2124846387926167,0.021739130434782608,0.18181818181818182,0.038834951456310676,0.9865370231862378,0.10283803935166289,0.35352388066469487,1319,18,180,4,0.014464168310322156,918.0,0.6035502958579881
0.33,0.6534421644824558,0.2124846387926167,0.021739130434782608,0.19047619047619047,0.03902439024390244,0.9872849663425579,0.10283803935166289,0.35352388066469487,1320,17,180,4,0.013806706114398421,917.0,0.6028928336620645
0.335,0.6534421644824558,0.2124846387926167,0.021739130434782608,0.19047619047619047,0.03902439024390244,0.9872849663425579,0.10283803935166289,0.35352388066469487,1320,17,180,4,0.013806706114398421,917.0,0.6028928336620645
0.34,0.6534421644824558,0.2124846387926167,0.021739130434782608,0.2222222222222222,0.039603960396039604,0.9895287958115183,0.10283803935166289,0.35352388066469487,1323,14,180,4,0.011834319526627219,914.0,0.6009204470742933
0.345,0.6534421644824558,0.2124846387926167,0.021739130434782608,0.2222222222222222,0.039603960396039604,0.9895287958115183,0.10283803935166289,0.35352388066469487,1323,14,180,4,0.011834319526627219,914.0,0.6009204470742933
0.35,0.6534421644824558,0.2124846387926167,0.021739130434782608,0.2222222222222222,0.039603960396039604,0.9895287958115183,0.10283803935166289,0.35352388066469487,1323,14,180,4,0.011834319526627219,914.0,0.6009204470742933
0.355,0.6534421644824558,0.2124846387926167,0.016304347826086956,0.2,0.03015075376884422,0.9910246821241586,0.10283803935166289,0.35352388066469487,1325,12,181,3,0.009861932938856016,917.0,0.6028928336620645
0.36,0.6534421644824558,0.2124846387926167,0.016304347826086956,0.23076923076923078,0.030456852791878174,0.9925205684367988,0.10283803935166289,0.35352388066469487,1327,10,181,3,0.008547008547008548,915.0,0.6015779092702169
0.365,0.6534421644824558,0.2124846387926167,0.010869565217391304,0.2,0.020618556701030927,0.994016454749439,0.10283803935166289,0.35352388066469487,1329,8,182,2,0.006574621959237344,918.0,0.6035502958579881
0.37,0.6534421644824558,0.2124846387926167,0.010869565217391304,0.2222222222222222,0.02072538860103627,0.9947643979057592,0.10283803935166289,0.35352388066469487,1330,7,182,2,0.005917159763313609,917.0,0.6028928336620645
0.375,0.6534421644824558,0.2124846387926167,0.005434782608695652,0.125,0.010416666666666666,0.9947643979057592,0.10283803935166289,0.35352388066469487,1330,7,183,1,0.005259697567389875,922.0,0.6061801446416831
0.38,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,0.9962602842183994,0.10283803935166289,0.35352388066469487,1332,5,184,0,0.003287310979618672,925.0,0.6081525312294543
0.385,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,0.9977561705310396,0.10283803935166289,0.35352388066469487,1334,3,184,0,0.0019723865877712033,923.0,0.6068376068376068
0.39,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,0.9977561705310396,0.10283803935166289,0.35352388066469487,1334,3,184,0,0.0019723865877712033,923.0,0.6068376068376068
0.395,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,0.9977561705310396,0.10283803935166289,0.35352388066469487,1334,3,184,0,0.0019723865877712033,923.0,0.6068376068376068
0.4,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,0.9985041136873598,0.10283803935166289,0.35352388066469487,1335,2,184,0,0.0013149243918474688,922.0,0.6061801446416831
